Var1,media,varianza,asimetria,curtosis,entropia,contraste,correlacion,energia,homogeneidad
imagen1,70.73046875,78096.0564797794,5.305963309822,31.9455060494486,0.997841572999656,0.00369129329109793,0.782589595743081,0.989638081113158,0.998971705563787
imagen2,96,211293.898039216,6.42385870512254,47.8311392177381,0.916988243682839,0.00153569072034227,0.762375799158571,0.994440525308622,0.999407483243986
imagen3,91.9921875,236072.760723039,6.26764821943093,42.5394802243876,0.811278124459133,0.000525985812471969,0.6361238505164,0.998174257160285,0.999752661433421
imagen4,83.3046875,50620.0793504902,3.04978379616763,11.4751134146861,0.972305100656847,0.0020992469479908,0.930723199607281,0.970633853882852,0.999179399515185
imagen5,95.0625,68409.9960784314,3.55610129141458,15.5829072413354,0.862381784358512,0.00126800151220921,0.957143114862854,0.973845614694613,0.999403569659072
imagen6,132.359375,187119.156617647,4.08133634886003,20.332505480591,0.912999213585247,0.00237163245802093,0.837161826935294,0.985255218790324,0.999043519846963
imagen7,160.140625,96145.9801470588,1.8290154219664,4.88302155182809,0.999603715686848,0.00626017042879584,0.965921654659576,0.870394505523483,0.997773913764939
imagen8,149.5078125,72655.6705269608,1.89161759242648,5.8372134573996,0.99365071169104,0.00788978718707953,0.961947124473278,0.889389719059215,0.997149305612629
imagen9,130.82421875,84892.9062346814,2.40120737970564,7.70918665555741,0.995592754452794,0.00656543005210547,0.970780932816286,0.854783100964374,0.997806396519727
imagen10,111.4375,52367.1098039216,2.11371572405243,6.49812546163572,0.988699408288497,0.0055510288423381,0.956368621168984,0.908288249650568,0.997983525372945
imagen11,96.2421875,225171.196017157,6.70820201170344,49.5546297849813,0.980495792602403,0.00132905343687114,0.796336561644895,0.995166141848155,0.99955698218771
imagen12,129.94921875,316694.03270527,5.22509105984195,30.93883437083,0.931957452346968,0.00143706838050377,0.734226184713481,0.996167885979159,0.999554634036761
imagen13,91.66015625,16590.2487591912,0.926222090401004,2.32811223519548,0.965201698750066,0.00414683457511383,0.979554152792355,0.91936320291987,0.998263933732049
imagen14,135.5625,45230.4588235294,1.21336845220818,2.87315675499651,0.935455764557577,0.00780055745103518,0.96233646126663,0.896994382207458,0.997781271304578
imagen15,93.23046875,40204.3113817402,2.63978377761235,10.3569323273073,0.978584485319995,0.00440043487755567,0.92907436412472,0.959224004400412,0.998942588492025
imagen16,163.625,72678.6039215686,1.66383814880616,4.49983286470759,0.942163169083551,0.0104868421361599,0.979166723667511,0.836536611619091,0.99676487975734
imagen17,194.94921875,69841.4758425245,1.24781232657468,3.4155622818104,1,0.0103130789659682,0.988870388935703,0.799433857087241,0.996381890746798
imagen18,140.99609375,66567.541161152,2.34025196246813,8.56425996116132,0.962649363422395,0.00470569450086529,0.973044757853182,0.92168106785067,0.998358055449237
imagen19,143.83984375,49821.0683670343,2.16547616846986,7.91706282724068,0.999295444362155,0.00810112077244774,0.973019642376838,0.913557616720534,0.997690006504378
imagen20,113.3828125,58790.7940563725,2.56664472609788,9.30195988933029,0.999295444362155,0.00725578643097493,0.945846293875564,0.912213570024439,0.997512916787009
